;Marker Coordinate File
   X(um)    Y(um)     Z(um)  Marker Diameter
3  4464.21 -9264.94  -161.70     1.49
3  8399.86 -9273.19  -171.60     1.49
3  9227.91 -9203.89  -158.40     1.49
3  9165.21 -9294.64  -168.30     1.49
3  9986.66 -9241.84  -165.00     1.49
3  8429.56 -10102.89  -168.30     1.49
3  6834.51 -9989.04  -171.60     1.49
3  6778.41 -10020.39  -165.00     1.49
3  5160.26 -10043.49  -171.60     1.49
3  4446.06 -10046.79  -158.40     1.49
3  2783.36 -10012.14  -161.70     1.49
3  2778.41 -10073.19  -171.60     1.49
3  2865.86 -10053.39  -168.30     1.49
3  2770.16 -9970.89  -168.30     1.49
3  1996.56 -10035.24  -171.60     1.49
3  2044.41 -10058.34  -168.30     1.49
3  2046.06 -10007.19  -165.00     1.49
3  2054.31 -10036.89  -168.30     1.49
3 11734.68 -6845.77  -217.80     1.65
